ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS00P003	HS00P004	HS00P010	HS00P011	HS00P012	HS00P014	HS00P019	HS00P025	HS00P029	HS00P034	HS00P036	HS00P040	HS00P041	HS00P042	HS00P044	HS00P045	HS00P046	HS00P047	HS00P048	HS00P050	HS00P051	HS00P055	HS00P056	HS00P057	HS00P058	HS00P059	HS00P061	HS00P063	HS00P064	HS00P068	HS00P071	HS00P072	HS00P073	HS00P074	HS00P075	HS00P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196
ASV_23	0.695	13.397	0.308433793680332	0.548687485599748	NotSig	0.737	0.514	0.389	0.217	0.153	0.071	0.2	0.214	0.461	0.153	0.131	0.457	0.197	0.268	0.166	0.144	0.443	0.154	0.239	0.195	0.255	0.191	1.297	0.316	0.493	0.272	0.244	3.095	0.598	0.511	13.063	0.046	0.644	0.2	0.367	0.08	0.837	1.846	4.606	0.004	0.434	0	0.209	0.765	1.623	0.074	0	0	0.034	0.017	0.458	0.006	0.102	0.115	1.464	0.213	1.111	0.204	1.815	0.117	1.688	0	0.049	0.025	0.864	0.374	0.04	0.265	0.296
ASV_124	0.822	12.418	0.327350951813334	0.555762080758283	NotSig	0.32	0.236	0.036	0.035	0.054	0.105	0.008	0.176	0.043	0.22	0.009	0.125	0.038	0.014	0.069	0.011	0.045	0.191	0.014	0.127	4.512	0.105	6.698	0.014	0.073	0.009	0.038	0.002	0.02	0.354	0.007	0.003	0.102	0.256	0.436	0.139	0.08	0.311	0.088	0.025	0	0	0	0	0	0.079	0.137	0.762	0.039	0.011	0.217	0.146	0.025	0.118	0.071	0.394	0.051	0	2.658	0	0.311	0.16	0.003	0.017	0.021	0.166	0.013	0.011	0.001
ASV_47	1.018	11.539	0.330188277133336	0.555762080758283	NotSig	0.258	0.15	0.295	1.093	0.089	1.151	0.363	1.433	1.57	0.323	0.163	0.067	0.076	0.168	0.152	0.274	0.637	0.322	0	0.004	0.006	0.013	0	0.002	0.001	0	0	0.005	0.25	0.009	0	4.301	0.007	0	0.029	0.016	0	0.016	0.019	0.004	0	0	0.024	0	0	0	0	0.005	0	0.001	0.023	0	0.114	0.041	0.007	0	0	2.199	0.002	0	0.001	0.011	0	0	0	0.02	0.001	0.001	0.152
ASV_70	0.911	11.172	0.330442224830366	0.555762080758283	NotSig	0.171	0.074	0.094	0.152	0.045	0.191	0.192	0.285	0.143	0.069	0.205	0.018	0.029	0.119	0.106	0.315	0.03	0.033	0.026	0.029	0	0.006	0	0.008	0	0	0	5.778	0.003	0	0	0.073	0.024	0.005	0.006	0.02	0.001	0	0.108	0.013	0.075	0	0.003	0	0.18	0	0	0.001	0.012	0.005	0.154	0	0.035	0.085	0.002	0.003	0.007	0.265	0.002	0.402	0.006	0	0	0	0.094	0.098	0.058	0.196	0.007
ASV_33	0.875	11.832	0.330568456891448	0.555762080758283	NotSig	0.342	0.166	0.024	0.008	3.827	0.157	0.371	0.095	0.606	0.051	0.891	0.149	0.384	0.287	1.094	0.121	0.99	4.567	0	0.143	0	0.032	0	0.014	0.048	0.006	0.108	0.01	0.496	0.003	0.007	0.087	0.032	0.799	0.101	0.803	0.005	0.017	0.031	0	0.04	0	0.004	0	0.622	0	0	0	0.035	0.009	0.011	0.005	0.461	1.828	0.034	0.007	0	0.137	0.009	0.162	0.16	0	0	0	0	0.008	0	0.005	0.01
ASV_95	0.944	9.856	0.331959343900125	0.555762080758283	NotSig	0.088	0.044	0.058	0.761	0.035	0.1	0.052	0.274	0.109	0.401	0.783	0.117	0.144	0.413	0.228	0.192	0.039	0.041	0	0.02	0	0.004	0.001	0.002	0.005	0.003	0.02	0.056	0.027	0.037	0.027	0.304	0.002	0.007	0.027	0.1	0.003	0.001	0.004	0	0	0	0	0	0	0	0	0.003	0	0.001	0.001	0.005	0.161	0.156	0	0	0	0.432	0	0	0	0.003	0	0	0	0	0	0	0
ASV_146	0.818	9.709	0.332141835246074	0.555762080758283	NotSig	0.071	0.045	0.049	0.12	0.036	0.086	0.154	0.086	0.079	0.142	0.17	0.026	0.568	0.418	0.419	0.176	0.098	0.341	0.005	0.022	0	0.002	0.001	0	0.02	0.001	0.006	0.03	0.144	0.002	0.002	0.264	0.005	0.01	0.026	0.02	0.003	0.004	0.001	0.003	0	0	0.003	0.001	0	0	0.001	0	0.005	0.001	0	0	0.072	0.128	0.006	0	0.03	0.476	0.012	0	0	0	0.007	0	0	0.001	0.003	0.001	0.028
ASV_11	-0.547	14.782	0.348165534191136	0.571202412522561	NotSig	1.728	2.259	0.093	0.342	0.23	0.18	0.376	0.189	0.162	0.338	0.228	0.444	0.016	0.104	0.083	0.116	0.533	0.692	0.334	0.169	0.552	0.209	0.3	0.53	2.404	0.066	0.267	0.866	0.349	2.382	0.659	1.355	32.086	2.116	1.983	0.6	1.445	1.699	0.989	1.11	0.01	0.963	3.46	2.429	1.2	0.586	2.477	8.381	0.154	3.221	2.444	4.49	0.097	0.118	1.046	1.54	1.587	0.107	0.909	0.443	7.628	18.333	0.629	0.638	1.228	0.944	1.225	1.855	0.073
ASV_189	-0.526	10.879	0.348838871147156	0.571202412522561	NotSig	0.096	0.159	0.091	0.05	0.041	0.226	0.46	0.161	0.106	0.016	0.025	0.065	0.022	0.057	0.074	0.062	0.017	0.115	0.052	0.037	0.049	0.005	0.259	0.019	0.009	0.013	0.007	0.066	0.199	0.035	0.051	0.059	0.017	0.379	0.083	0.066	0.062	0.047	0.141	0.552	0.153	0.068	0.009	0.001	0	0.007	0.401	0.169	0.045	0.142	0.015	0	0.099	0.026	0.015	0.055	0.223	0.026	0.315	0.011	0.217	0.506	0.712	0.084	0.016	0.107	0.179	0.108	0.003
ASV_81	-0.535	12.115	0.35150917693696	0.571202412522561	NotSig	0.253	0.365	0.018	0.011	0.017	0.018	0.057	0.07	0.014	0.067	0.051	0.279	0.004	0.024	0.025	0.025	0.03	0.039	0.094	0.053	0.413	0.04	0.373	0.93	0.187	0.029	0.072	0.056	0.063	0.652	0.596	0.042	0.136	0.589	0.279	1.612	1.475	1.215	0.496	0.045	0.13	0.54	0.146	0.039	0.292	0.226	0.582	0.005	0.114	0.304	0.019	0.037	0.025	0.079	0.174	0.669	0.213	0	0.807	0.118	0.26	1.269	1.586	0.317	0.215	0.255	0.157	0.019	0.034
ASV_122	-0.617	11.628	0.355856988756572	0.572760296189149	NotSig	0.174	0.307	0.128	0.092	0.016	0.025	0.119	0.008	0.008	0.574	0.041	0.125	0.02	0.047	0.009	0.057	0.113	0.021	0.044	0.083	0.032	0.365	0.397	0.036	0.176	0.003	0.368	0	0.102	0.026	0.05	0.001	0.338	0.055	1.701	0.02	0.021	0.066	0.01	0.063	0.26	0.557	0.004	0.001	0.052	1.027	0.004	0.122	0.973	0.222	0.086	0.006	0.042	0.008	1.022	0.036	1.537	0	0.039	0.025	0.076	1.343	0.027	0	0.011	1.047	0.003	0.008	0
ASV_90	-0.608	12.737	0.370311873300964	0.587061796672553	NotSig	0.412	0.794	2.379	0.17	0.015	0.013	0.047	0.061	0.249	0.183	0.044	0.224	0.009	0.083	0.06	0.11	0.051	0.039	0.059	0.296	0.08	0.336	0.103	0.063	1.953	0.019	2.922	0.034	0.114	0.037	3.857	0.086	0.127	0.801	0.269	0.251	0.04	0.135	0.099	0.07	0.179	0.13	0.062	0	0.003	0.189	0.008	0.082	4.072	0.371	0.001	0.005	0.121	0.023	8.788	0.098	0.089	0.012	0.29	0.021	0.004	0.083	1.54	0	0.001	0.046	0.111	2.263	0.011
ASV_207	-0.722	11.13	0.371690013277888	0.587061796672553	NotSig	0.147	0.26	0.043	0.083	0.003	0.004	0	0	0	1.158	0.002	0.129	0	0.005	0.002	0.009	0.002	0.002	0.014	0.018	0.015	0.036	0.004	0.017	0.079	0.046	0.434	0.599	0	0.002	0.077	0.001	0.331	0.092	1.106	0.02	0.014	0.051	0.118	0	0.003	0.004	0.019	0	0.006	0.106	0.454	0.119	2.111	0.001	0	0.001	0.002	0	0.406	0.105	0.007	0	0.009	0	0.013	0.857	0.104	0.005	0	0.617	0.001	2.108	0.178
ASV_104	-0.72	10.684	0.391457995144376	0.608374818925375	NotSig	0.122	0.122	0.04	0.144	0.036	0.075	0.042	0.334	0.114	1.329	0.016	0.232	0.049	0.093	0.032	0.443	0	0.016	0.117	0.004	0.014	0.01	0.031	0.076	0.032	2.247	0.002	0	0.003	0.033	0.005	0	0.003	0.265	0.019	0.144	0.004	0.003	0.001	0.042	0	0	0	0	0.027	0.001	0	0	0	0	0.001	0	0.007	0.036	0	0.003	0.007	0	0.01	0.578	0.029	0	0.149	0	0.391	0.02	0.843	0.001	0
ASV_8	-0.616	14.408	0.392383758951869	0.608374818925375	NotSig	1.45	1.632	0.052	0.242	0.289	0.182	0.104	1.301	0.654	0.165	0.334	1.297	0.233	0.615	0.341	0.338	0.141	0.216	0.211	0.09	2.449	0.219	0.256	0.517	1.367	0.207	0.4	0.272	1.399	18.614	1.199	0.068	0.652	1.626	1.939	0.402	16.416	15.182	0.778	0.713	0.004	0.005	0.004	0.001	0	0	0.027	0	0.859	0.107	0.015	0	0.475	0.287	0.097	3.057	0.245	0.143	5.795	1.884	4.048	0.004	0.006	1.574	3.404	6.69	0.01	0.027	0.003
ASV_128	1.375	6.43	0.398780266027	0.6126714996233	NotSig	0.006	0.001	0	0	0	0	0	0	0	0	0.304	0.008	0.002	0.002	0	0.005	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.003	0	0	0	0	0	0	0	0	0	0.007	0	0	0
ASV_42	-0.59	12.643	0.40709879763312	0.619817088288264	NotSig	0.391	0.576	0.198	0.108	3.668	0.168	0.06	0.023	0.042	0.659	1.213	0.202	0.07	0.358	0.217	0.288	0.289	0.08	0	0.103	0.032	0.344	0.003	0.036	0.214	0.007	0.042	0.132	0.072	0.059	0.019	0.052	0.531	0.181	0.401	5.39	0.035	0.114	0.138	0	0.011	0.001	0.008	0.706	0.601	0.013	0.001	0.021	0.076	0.002	2.526	0.036	0.258	0.387	6.383	0.009	0.025	0.036	0.006	1.168	0.015	0.001	0	0	0.821	0.458	0.016	0.035	0.168
ASV_114	0.79	12.025	0.414044747020578	0.624763948629265	NotSig	0.199	0.225	0	0.007	0	0	0.013	0.041	0.008	0.043	0.009	0.002	0.009	0.031	0.016	0.059	0.028	0.004	0.239	0.004	0.052	0.072	0.01	0.319	0.007	0.04	0.002	0.002	0.027	0	0	0.028	0	0.034	0.003	0.024	0.006	0.003	0.19	3.274	0.844	0.003	0.066	0.003	0	0.003	0.022	0	0.177	0.172	1.309	2.755	0.002	0.026	0.009	0.115	0.055	0.001	0.65	0	0.18	0	0	0	0.001	0.061	1.531	1.189	0
ASV_110	0.549	12.036	0.438973576154895	0.656518003275905	NotSig	0.248	0.207	0.008	0.022	0.026	0.004	0.059	0.07	0.01	0.096	0.039	0.497	0.007	0.009	0.007	0.021	0.002	0	0.066	0.053	0.034	0.072	0.007	1.699	0.356	0.021	0.044	0.187	0.045	0.003	0.221	0.083	0.76	0.012	0.063	0.086	0.287	0.001	0.017	0.017	0.149	0.619	2.435	1.875	0.199	0.558	0.054	0	0.069	0.71	0.011	0.723	0.012	0.021	0.073	0.021	0.002	0.023	0.006	0.087	0.391	0.52	0.212	0.077	0.108	0.141	0.861	0.41	0.559
ASV_112	-0.505	9.914	0.449738892087324	0.66564779332306	NotSig	0.054	0.096	0.026	0.021	0.003	0.016	0.026	0.002	0.021	0.024	0.002	0.184	0.002	0.005	0.012	0	0.03	0.002	0.023	0.037	0.003	0.041	0.031	0.087	0.09	0.08	0.239	0.014	0.002	0.068	0.012	0.021	0.045	0.07	0.067	0.02	0.067	0.101	0.135	0.003	0.283	0	0.375	0.008	0	0.003	0.012	0.09	0	0.004	0	0.299	0.022	0	0.009	0.009	0.08	0	0.078	0.006	0.015	0.014	0.192	0.003	0.008	0.004	0	0.432	0.766
ASV_27	0.554	13.26	0.452955599006816	0.66564779332306	NotSig	0.653	0.55	0.114	0.033	0.058	0.143	0.002	0.221	0.026	0.065	0.083	0.491	0.031	0.057	0.067	0.084	0.021	0.049	2.116	0.211	3.197	0.094	10.17	0.139	0.188	0.063	0.08	0.089	0.012	1.732	0.034	0.032	0.37	1.19	0.587	0.641	0.241	2.583	4.506	0.023	0.468	0	0.047	0	0	0.111	0.473	0	0.368	0.68	0.016	0.627	0.052	0.105	0.114	1.288	2.028	0.005	3.626	0.072	0.062	0.585	0.423	0.036	0.297	0.289	0.325	0.039	0.003
ASV_79	-0.51	11.178	0.461754805390424	0.669958064860355	NotSig	0.164	0.274	0.113	0.177	0.147	0.186	0.724	0.232	0.143	0.031	0.35	0.097	0.772	0.157	0.246	0.203	0.304	1.994	0.007	1.021	0.009	0.066	0.009	0.008	0.041	0.003	0.084	0.024	0.112	0.019	0.003	0.463	0.014	0.055	0.085	0.078	0.005	0.057	0.024	0	0.011	0	0.004	0.004	0.009	0.015	0	0.033	0.053	0.016	0.001	0.003	0.084	0.877	0.021	0.005	0.05	3.447	0.019	0.005	0	0.004	0.004	0	0.001	0.001	0.006	0.075	0.066
ASV_148	1.214	8.218	0.4638171218264	0.669958064860355	NotSig	0.017	0.01	0.02	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367	0.028	0.005	0.116	0.116	0	0.019	0	0	0	0.008	0	0	0	0	0	0	0	0.048	0.07	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.136	0	0	0.035	0	0	0	0	0	0	0	0	0	0
ASV_65	-0.47	13.754	0.477975068620875	0.677308822903696	NotSig	0.593	0.913	0.056	0.145	0.045	0.028	0.33	0.276	0.069	0.128	0.184	0.483	0.022	0.071	0.032	0.084	0.056	0.047	0.096	0.132	0.232	0.106	1.634	0.156	0.275	0.049	0.03	0.407	0.083	0.194	0.401	0.02	2.125	0.166	0.396	0.114	0.625	0.496	0.456	0.206	0.071	0.168	3.601	7.441	0.845	0.42	0.137	0.016	0.014	0.124	0.005	6.339	0.027	0.069	0.44	0.371	0.181	0.026	0.713	0.011	9.916	0.104	0.34	1.235	0.459	0.031	0.785	0.548	0.261
ASV_38	0.504	14.998	0.479806891543597	0.677308822903696	NotSig	1.647	1.5	0.289	0.141	0.017	0.032	0.327	0.27	0.079	1.219	0.168	0.19	0.04	0.074	0.094	0.073	0.056	0.045	13.459	0.136	0.549	0.139	0.369	3.491	0.145	0.236	0.108	2.761	0.225	0.014	0.228	0.055	1.391	0.258	0.144	3.529	0.109	0.111	0.505	3.91	1.182	5.182	0.489	0.034	0.21	0.559	16.464	2.825	5.31	13.164	0.945	0.979	0.064	0.067	0.075	2.362	0.264	0.029	0.062	0.991	2.127	3.674	5.992	2.308	0.943	0.159	5.862	0.391	0.134
ASV_129	0.466	10.323	0.484384971428337	0.677308822903696	NotSig	0.088	0.06	0.014	0.01	0.028	0.019	0.076	0.042	0.042	0.173	0.085	0.428	0.009	0.045	0.025	0.05	0.004	0.004	0.038	0.017	0.005	0.015	0.294	0.012	0.004	0.11	0.008	0.014	0.032	0.019	0.582	0	0.129	0.125	0.128	0.537	0.108	0.229	0.104	0	0.021	0.001	0.023	0.185	0.002	0	0.01	0.003	0.001	0.001	0.4	0.201	0.035	0.041	0.006	0.126	0.027	0.004	0.025	0.064	0.158	0.049	0	0.008	0.214	0.145	0.095	0.021	0
ASV_97	-0.398	11.716	0.484937086220989	0.677308822903696	NotSig	0.213	0.264	0.07	0.046	0.087	0.083	0.055	0.092	0.103	0.144	0.325	0.855	0.074	0.078	0.099	0.333	0.081	0.049	0.021	0.053	0.124	0.037	0.384	0.178	0.159	0.036	0.062	0.225	0.374	0.244	0.509	0.013	0.239	0.118	0.181	0.024	0.247	1.041	0.954	0.006	0.201	0.052	0.125	0.001	0.021	0.004	0	0.221	0.186	0.034	2	0	0.149	0.1	0.223	0.796	0.135	0.027	0.332	0.039	0.264	0.007	0.006	0.014	0.277	1.614	0.081	0.053	0.365
ASV_18	0.524	14.229	0.498400508715852	0.690115157355631	NotSig	1.291	0.847	0.033	0.021	0.176	0.13	0.005	2.274	0.135	3.099	0.371	0.511	0.092	0.187	0.081	0.226	0.094	0.041	1.442	0.158	0.032	0.274	0.059	0.404	0.321	25.523	0.123	0.115	2.422	0.009	0.007	0.041	0.843	0.198	0.43	0.341	1.457	2.83	3.558	0.013	0.001	0.003	0	0.24	0.002	0.009	3.022	0.013	0.545	4.94	2.588	5.103	0.163	0.085	0.021	1.742	1.78	0.051	0.088	0.11	0.179	5.657	0.003	1.86	0.004	1.774	0.518	0.37	0
ASV_40	0.391	12.066	0.502273161862382	0.690115157355631	NotSig	0.321	0.29	0.789	0.614	0.254	0.414	0.249	0.223	0.625	0.153	0.373	0.17	0.07	0.133	0.398	0.338	0.148	0.154	0.024	0.352	0.012	0.346	0.013	0.022	0.292	0.107	1.302	0.029	0.175	0.042	0.815	1.145	0.119	0.012	0.381	0.394	0.049	0.023	0.064	0.004	0.488	0.533	1.007	0.015	0.163	0.09	0.005	0.129	2.727	0.019	0.015	0.027	0.156	0.177	0.137	0.015	0.023	1.55	0.06	0.008	0.052	0.054	0.065	0	0.196	0.531	0.04	1.161	0.71
ASV_137	-0.49	10.199	0.517908196263511	0.70119519889033	NotSig	0.063	0.07	0.002	0.017	0.019	0	0.007	0.031	0	0.098	0.002	0.036	0.004	0	0.005	0.002	0.011	0.004	0.01	0.044	0.023	0.119	0.012	0.003	0.007	0.043	0.096	0.008	0.003	0	0.002	0.001	0.029	0.041	0.101	0.029	0.032	0.012	0.021	0.176	0.409	0	0.076	0	0	0.012	0.095	1.012	0.003	0.449	0.003	0.046	0.002	0.008	0	0.005	0	0	0.015	0.029	0.099	0.286	0.312	0.327	0.018	0.052	0.029	0	0.006
ASV_9	-0.356	14.117	0.518635502137818	0.70119519889033	NotSig	1.051	1.431	0.52	0.24	0.678	0.549	0.281	0.29	0.651	0.403	0.677	0.642	0.126	0.261	0.263	0.352	0.259	0.097	0.391	0.611	0.479	0.505	2.067	0.52	0.827	0.339	0.368	3.549	1.18	0.5	4.422	0.218	2.863	0.27	0.575	0.222	0.933	3.425	8.605	0.008	1.145	0.476	1.561	1.825	5.951	0.726	0.003	0.009	0.147	0.099	1.391	0.055	0.228	0.195	3.012	1.069	3.141	0.648	2.231	1.124	4.441	0.006	0.104	0.026	2.06	1.636	1.205	1.118	2.075
ASV_54	0.458	13.39	0.524652685190985	0.703700823787908	NotSig	0.606	0.714	0.1	0.084	0.119	0.047	0.026	0.469	0.043	0.818	0.265	0.883	0.018	0.059	0.085	0.027	0.329	0.214	4.428	0.132	0.803	0.249	0.051	0.359	0.384	0.389	0.046	6.082	0.384	0.068	0.009	0.024	0.036	0.333	0.111	0.218	0.206	0.17	2.161	0.007	0.003	3.088	0.017	0.173	0.006	0.174	4.256	0.968	0.239	1.084	0.019	0.021	0.106	0.036	0.066	0.05	5.637	0.016	1.495	0.076	0.405	0.003	0.992	0.002	0.753	0.006	2.47	0.024	0
ASV_117	0.495	11.986	0.532700592910112	0.707824313059726	NotSig	0.369	0.174	0.003	0.108	0.118	0.062	0.026	0.019	0.026	0.533	0.051	6.905	0.029	0.033	0.046	0.002	0.017	0.014	0.173	0.04	1.102	0.046	0.232	0.107	0.04	2.131	0.008	0.012	0.075	2.434	0.039	0	0.268	1.062	0.03	0.006	0.006	0.008	0.001	0.023	0.003	2.301	0.003	0.045	0	0	0.004	0.183	0.067	0	0	0	0.243	0.241	0.017	0.034	0.17	0	0.007	0.645	0.038	0.44	0.191	0.002	0.4	0.112	0.188	0.215	0.013
ASV_103	-0.445	11.108	0.53610362172571	0.707824313059726	NotSig	0.151	0.189	0.005	0.008	0.039	0.047	0.015	0.106	0.01	0.258	0.005	1.378	0.002	0.019	0.023	0.039	0.006	0.008	0.129	0.037	0.238	0.04	1.517	0.005	0.032	0.031	0.013	0	0.042	0.026	0.043	0.003	0.113	0.572	0.207	0.089	0.085	0.211	1.181	0.006	0.111	0	0.003	0.193	0	0	0.008	0.157	0.052	0	0.413	0.05	0.054	0.028	0.007	0.315	0.053	0	2.472	0.005	0.129	0	0.018	0.009	0.016	0.052	0.014	0.045	0
ASV_115	0.545	9.998	0.577302315600703	0.75631078555441	NotSig	0.075	0.061	0.006	0.148	0.089	0.137	0.242	0.112	0.053	0.039	0.106	0.463	0.072	0.429	0.078	0.107	0.107	0.051	0.003	0	0.009	0.054	0.001	0.008	0.005	0.001	0	0	1.284	0.035	0.01	0.021	0.008	0.027	0.018	0.001	0	0.027	0.004	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0.339	0.062	0.002	0	0.394	0.23	0.003	0	0.001	0	0.001	0	0.001	0	0	0	0
ASV_39	0.404	12.108	0.611613832373626	0.785727508658171	NotSig	0.45	0.191	0.053	0.478	0.724	0.462	0.306	0.788	0.17	1.524	0.092	9.424	0.083	0.275	0.168	0.696	0.021	0.179	0.107	0.059	0.206	0.114	0.006	0.26	0.09	2.409	0.012	0.008	0.035	0.085	0.307	0	0.025	0.405	0.095	0.231	0.149	0.013	0.051	0.054	0	2.189	0	0.004	0	0.001	0.009	0	0.121	0	0	0	0.327	0.013	0.009	0.005	0.709	0.043	0.014	0.008	0.998	0.006	0.157	0.614	0.001	0	0.335	0.003	0
ASV_113	0.291	12.184	0.613455641027517	0.785727508658171	NotSig	0.36	0.284	0.049	0.133	0.118	0.171	0.22	0.07	0.035	0.246	0.235	0.38	0.02	0.05	0.062	0.084	0.062	0.074	0.19	0.066	0.206	0.067	0.739	5.33	0.28	0.06	0.04	0.209	0.175	0.316	0.807	0.021	0.949	0.369	0.593	0.074	0.601	0.961	1.338	0.256	0.04	0.049	1.592	0.196	0.084	0.001	0.043	0.001	0.073	0.116	0.1	0.024	0.109	0.067	0.225	0.208	1.276	0.018	0.425	0.025	0.78	0.014	1.068	0.082	0.1	0.188	0.095	0.126	0.021
ASV_5	0.362	14.192	0.613704326289223	0.785727508658171	NotSig	1.496	1.159	0.359	4.816	2.105	1.081	3.711	1.84	0.897	1.935	0.951	1.186	1.701	8.693	5.015	3.952	1.66	3.975	0.052	0.162	0.045	0.866	0.01	0.202	0.364	0.024	0.115	0.137	12.395	0.319	0.178	2.268	1.467	1.001	0.779	0.255	0.986	7.74	0.573	0	0.027	0.014	0.034	0.018	0.002	0	0	0.024	0.232	0.021	0.567	0.032	2.526	2.256	0.741	0.277	3.879	4.021	0.342	0.031	0.179	0	0.066	0.002	0.023	5.125	0.017	0.191	0.024
ASV_141	0.318	10.006	0.641008570355691	0.814090627846366	NotSig	0.087	0.06	0.036	0.011	0.028	0.058	0.057	0.059	0.037	0.01	0.272	0.154	0.038	0.285	0.092	0.089	0.156	0.17	0.009	0.007	0.012	0.028	0.036	0.037	0.028	0.435	0	0.015	0.399	0.005	0.024	0.027	0.636	0.014	0.063	0.011	0.108	0.467	0.401	0	0	0	0.004	0.005	0.011	0	0	0	0.015	0.001	0.004	0	0.371	0.01	0.073	0.036	0.011	0.04	0.04	0.005	0.06	0	0.006	0.005	0.029	0.075	0.001	0.262	0.003
ASV_131	0.647	10.413	0.645491977108953	0.814090627846366	NotSig	0.148	0.062	0	0	0.003	0	0	0.002	0	0	5.446	0.119	0.085	0.197	0.016	0.011	0.002	0.002	0	0.004	0.002	0.001	0	0	0.001	0	0	0	0	0	0	1.369	0	0	0.037	0.002	0.001	0.113	0.006	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.104	0	0.086	0	0	0.669	0.001	0.176	0	0	0	0	0	0.008	0	0	0.001
ASV_7	-0.259	14.916	0.657891884120108	0.823583173454061	NotSig	1.739	2.284	0.085	0.536	0.272	1.071	0.06	0.853	0.291	3.21	0.49	0.966	0.096	0.323	0.647	0.603	0.853	1.351	0.367	0.51	6.289	1.015	4.015	0.512	0.48	1.118	0.079	1.165	0.581	8.301	0.528	0.588	1.813	0.982	0.624	0.3	12.553	7.514	0.639	9.776	0.027	0.018	0.346	1.196	0.15	0.024	0.812	0.008	0.22	5.811	1.217	5.675	0.225	1.159	2.166	1.215	2.326	0.067	15.708	2.554	1.428	2.257	1.217	1.246	2.389	0.683	2.482	1.654	0.046
ASV_85	-0.269	11.065	0.675896848900077	0.835195328848172	NotSig	0.127	0.131	0.056	0.097	0.092	0.183	0.122	0.067	0.103	0.096	0.152	0.127	0.11	0.057	0.048	0.068	0.032	0.01	0.028	0.286	0.015	0.027	0.137	0.005	0.007	0.006	0.002	0.007	0.095	0.23	0.048	0.111	0.374	0.082	0.136	0.015	0.03	0.228	0.481	0.003	1.082	0.052	0.001	0.003	0.022	0	0	0.001	0.099	0.004	1.217	0.084	0.032	0.026	0.017	0.053	0.028	0.052	0.074	0.246	0.128	0.001	0	0.019	0.33	1.156	0.014	0.031	0.02
ASV_72	-0.318	12.585	0.678970389415922	0.835195328848172	NotSig	0.326	0.595	0	0	0.132	0.097	0.033	0.058	0.064	0.018	0.048	0.101	4.414	0.019	0.014	0.023	0.047	0.045	0.045	4.896	0.051	0.642	0.094	0.02	0.07	0.051	0.055	0.002	0.083	0.024	0.135	0.024	0.121	0.048	0.061	1.017	0.013	0.001	0.017	0	0.003	0.247	0.358	2.251	0.095	0.132	0	0.004	0.414	0.009	0.128	0.054	0.057	0.138	7.805	0.177	0.014	0.114	0.002	0.103	0.116	0.006	0	0	0.356	0.204	0.065	0.575	0.389
ASV_142	-0.36	10.536	0.681993818822768	0.835195328848172	NotSig	0.118	0.118	0	0	0.004	0	0.002	0.154	0	0.012	0.023	0.067	0	0	0.055	0.002	0.002	0.002	0.056	0.029	0.011	0.031	0.003	0.029	0.556	0.319	0.035	0.008	0.063	2.262	0.024	0.11	0.043	0.562	0.141	0.83	0.017	0.007	0.032	0	0	0.001	0	0	0	0	0.001	0.004	0.414	0	0	0	0.037	0.031	0.024	0.036	0.06	0.005	0.016	0	0	1.139	0.003	0	0.123	0.006	0.489	0	0.028
ASV_74	0.337	11.107	0.69257683760092	0.842053852910471	NotSig	0.192	0.116	1.632	0.265	0.09	1.597	0.047	0.872	1.61	0.051	0.242	0.226	0.016	0.349	0.097	0.196	0.845	0.253	0.012	0.009	0.017	0.027	0.003	0.02	0.002	0.001	0.005	0.007	0.082	0.009	0.005	0.439	0.083	0.043	0.143	0.005	0.094	0.043	0.048	0	0.036	0.025	0	0	0.002	0.041	0	0.003	0	0	0	0	1.592	0.041	0.148	0.002	0.071	0.063	0.034	0	0.006	0	0.001	0	0	0	0.006	0	0.013
ASV_25	-0.233	13.368	0.699774318307381	0.844727569956768	NotSig	0.762	0.816	2.626	0.892	0.11	1.995	0.08	0.869	1.864	0.645	1.464	1.042	0.981	2.121	0.843	1.694	2.556	2.653	0.194	1.761	0.052	0.479	0.027	0.053	0.764	0.036	1.721	0.608	0.028	0.016	0.255	0.461	0.1	0.15	0.673	0.202	0.725	0.13	0.129	0.041	0.579	0.01	1.692	0.01	0.024	1.034	0.009	0.103	1.178	2.312	0	0.107	5.383	0.485	0.786	0.033	0.094	0.23	0.286	0.004	0.025	0.018	0.211	0.031	0.594	0.067	0.007	0.146	5.475
